seq,probe_id,warmup,sent_wall_ns,rtt_ns,server_ack_rtt_ns,presented_rtt_ns,student_dispatch_ns,student_receive_wall_ns,server_receive_wall_ns,wall_delta_teacher_to_student_ns,lost,physical_led_onset_ns,physical_haptic_onset_ns
12,ddba74fa-cf7b-43d7-a0f4-6c8f911478a4,1,1787003366441091000,37052167,18742542,,,1787003366460284000,1787003366519917148,19193000,0,,
13,1953838a-6384-4b55-beb1-f493868b07be,1,1787003366943915000,35100958,17846666,,,1787003366961378000,1787003367021578178,17463000,0,,
14,e2601377-c4f6-4c2a-b18f-3740c418571d,1,1787003367449403000,33317750,15428542,,,1787003367465144000,1787003367524621881,15741000,0,,
15,79d92356-4c8c-4011-8709-5d89974d9110,1,1787003367954962000,38781209,21037625,,,1787003367976218000,1787003368036628680,21256000,0,,
16,28ff024c-4a52-4895-a888-927f9ec828b7,1,1787003368459021000,24535708,11198166,,,1787003368469963000,1787003368524969524,10942000,0,,
17,ffbbd111-9a37-45d9-8794-9344820a29b6,1,1787003368963903000,28000333,9905792,,,1787003368974161000,1787003369033584579,10258000,0,,
18,59c1e818-1ecc-4cea-9383-cd0fea33d59e,1,1787003369466039000,27493208,10185375,,,1787003369476490000,1787003369536216531,10451000,0,,
19,a03146e7-516e-40a8-a639-1f9118b9e0d5,1,1787003369971610000,34168958,16651375,,,1787003369988486000,1787003370048325199,16876000,0,,
20,ec1b8e64-556e-451e-8835-7373af3c5287,0,1787003370474360000,34393917,17588042,,,1787003370492406000,1787003370551060437,18046000,0,,
21,7b5d0bb4-12a1-47ac-9133-acc4aa7c0858,0,1787003370978054000,33089750,16583250,,,1787003370994872000,1787003371053986318,16818000,0,,
22,03dd1603-bd03-4f52-af14-993ee129eaa9,0,1787003371482704000,22502083,14135583,,,1787003371497098000,1787003371547704584,14394000,0,,
23,e98bf351-4dc7-4ad7-8084-4e4af4e8249c,0,1787003371988297000,29757250,11405375,,,1787003372000084000,1787003372060014079,11787000,0,,
24,7cdb2131-6698-4987-b7a4-bff00d93a39d,0,1787003372493734000,38006625,19987416,,,1787003372513985000,1787003372574173188,20251000,0,,
25,4a30c0f8-6b21-43bc-99b6-8150c54de325,0,1787003372999161000,54536250,18363084,,,1787003373016993000,1787003373095460389,17832000,0,,
26,39192430-515e-4fca-9b9e-494daf1fef87,0,1787003373503271000,24955209,16479500,,,1787003373519537000,1787003373570591271,16266000,0,,
27,cb1afc20-1b4f-4fad-9244-115d6e56dcdd,0,1787003374008074000,32096041,14457875,,,1787003374022969000,1787003374082623653,14895000,0,,
28,9c82c2b6-0297-4677-b8f7-26fdc1dfaf99,0,1787003374511359000,32519792,13922042,,,1787003374525629000,1787003374585435496,14270000,0,,
29,e2350937-6239-431c-8313-473e853c6e80,0,1787003375015980000,39371708,22399333,,,1787003375038653000,1787003375097705017,22673000,0,,
30,a1544e6f-2243-47f9-9800-43f938ffb5a4,0,1787003375519244000,19755250,11461458,,,1787003375530973000,1787003375581965494,11729000,0,,
31,f4c13397-776d-454e-91f3-f3dee586b22a,0,1787003376024053000,36567708,18580917,,,1787003376042931000,1787003376103230500,18878000,0,,
32,8dc796bf-8c08-476b-a542-de9d352266a1,0,1787003376529081000,34300333,17197791,,,1787003376545760000,1787003376606237505,16679000,0,,
33,2536a2d9-d6f9-415e-b5e4-85fa3057d392,0,1787003377033901000,34706250,15052917,,,1787003377049209000,1787003377109035538,15308000,0,,
34,adc8ba22-30d8-4e73-acd9-d44384ede681,0,1787003377535687000,36870542,15849542,,,1787003377551765000,1787003377611798844,16078000,0,,
35,32e283bb-39a9-42d5-8c4f-b1b45c6ce30e,0,1787003378040966000,25900250,15719208,,,1787003378056384000,1787003378108132062,15418000,0,,
36,10f67c6f-91d1-472e-a570-f07034651031,0,1787003378546471000,213900958,13324042,,,1787003378560032000,1787003378802370968,13561000,0,,
37,8925b8ba-5756-4259-a40a-c2001f81efd4,0,1787003379048276000,146452292,71282000,,,1787003379119990000,1787003379233362168,71714000,0,,
38,3355f7ad-9d6c-48ee-845c-31fe1b64140b,0,1787003379551213000,144038417,69439500,,,1787003379620884000,1787003379736260093,69671000,0,,
39,261e9c10-dc56-4ef3-8bc5-8e314ec1eee8,0,1787003380056626000,131622291,67830625,,,1787003380123971000,1787003380229916851,67345000,0,,
40,49c32e23-ebca-4c06-be7b-8137295ed1f1,0,1787003380558859000,140087583,68440458,,,1787003380626747000,1787003380741844772,67888000,0,,
41,4730ceab-5971-46b6-ba22-72c60d03fad7,0,1787003381064300000,27904000,10019709,,,1787003381074803000,1787003381135053153,10503000,0,,
42,8c99d08a-ed70-4315-b4e7-89fe6e53ff51,0,1787003381569637000,121114542,11337792,,,1787003381581194000,1787003381732827373,11557000,0,,
43,547cdde1-9ec2-4968-aec5-30515d7e0839,0,1787003382074049000,38244792,18991583,,,1787003382092812000,1787003382153617687,18763000,0,,
44,91759d33-c8ae-4206-b302-d22243c5091c,0,1787003382578638000,34561458,17148583,,,1787003382596016000,1787003382656157514,17378000,0,,
45,50bee54e-edb1-4dd7-b596-3aa6e420d80e,0,1787003383082772000,26921083,18413167,,,1787003383101486000,1787003383152291901,18714000,0,,
46,4edbebd1-4737-46d2-87f2-d4ff763e8c7e,0,1787003383588230000,70495000,15461750,,,1787003383603922000,1787003383700486093,15692000,0,,
47,aaa557d2-4f0a-4963-8cf9-5c4c16b1ef29,0,1787003384092142000,115768917,14870458,,,1787003384106730000,1787003384249398715,14588000,0,,
48,0720289a-6b0a-4e23-b6df-523493d8877e,0,1787003384594627000,34304000,15348875,,,1787003384609376000,1787003384669836408,14749000,0,,
49,a4e9c4b6-016a-47ac-864a-a3f3eeeef26e,0,1787003385099085000,30945583,15239541,,,1787003385114769000,1787003385172547196,15684000,0,,
50,8adce624-fffc-41ce-9e55-c95363a6ae6e,0,1787003385604920000,20413750,10397375,,,1787003385615139000,1787003385666421650,10219000,0,,
51,5154a571-e5b2-4f05-ac36-722b7c572b34,0,1787003386108874000,54034584,9610334,,,1787003386118708000,1787003386205821306,9834000,0,,
52,2cea79b5-d423-4dcb-8e5c-49f6d811fa8c,0,1787003386614304000,36147334,15821292,,,1787003386629855000,1787003386689818428,15551000,0,,
53,7a8f6f57-6a3e-46dd-ac84-ebde3c89c2ed,0,1787003387119632000,48945084,12620042,,,1787003387132705000,1787003387211071162,13073000,0,,
54,69d6f901-ea88-42e2-b6dc-9d58ec4b4878,0,1787003387624258000,28602375,10806625,,,1787003387635399000,1787003387695548311,11141000,0,,
55,3abb770c-0beb-4122-af4f-cf81bbeb334d,0,1787003388129767000,35190750,18584708,,,1787003388148812000,1787003388207357146,19045000,0,,
56,f35136fe-0eca-4032-aaa4-cdd378382814,0,1787003388635216000,31033209,13759250,,,1787003388648633000,1787003388708107711,13417000,0,,
57,4a8433d3-0fd4-48bd-a5ab-c44d611cf5b5,0,1787003389140561000,37723459,22602792,,,1787003389162527000,1787003389220121607,21966000,0,,
58,76bc0755-ba48-43a0-bddf-56410036973a,0,1787003389646001000,34842917,18005167,,,1787003389663831000,1787003389723017300,17830000,0,,
59,3d833ef8-8cb4-430a-9ad3-48815fccfd50,0,1787003390149284000,34012084,17414584,,,1787003390166267000,1787003390225961609,16983000,0,,
60,e9362a79-9340-4534-be92-acd2a4949ea3,0,1787003390651512000,34641875,17093458,,,1787003390668865000,1787003390728575290,17353000,0,,
61,4354b274-e72a-4310-9ced-3ee3450b823f,0,1787003391157032000,32143333,17538667,,,1787003391174841000,1787003391231624759,17809000,0,,
62,e2479122-b543-408e-8ac3-1c21fc1be648,0,1787003391659439000,32150834,15592209,,,1787003391675469000,1787003391734139154,16030000,0,,
63,45c7a494-3ed1-4bf0-b66f-6bbd54e6ab5f,0,1787003392164851000,30025792,12558750,,,1787003392177668000,1787003392237123284,12817000,0,,
64,c27dea90-e962-4f0e-9a67-4d226877f32e,0,1787003392670262000,33344375,15605125,,,1787003392685605000,1787003392746441971,15343000,0,,
65,51f0f926-248f-41ca-a331-d0e402a94226,0,1787003393175594000,33086875,15481916,,,1787003393191529000,1787003393249916958,15935000,0,,
66,6d1354ed-69b4-405d-a798-d41134772fb1,0,1787003393680687000,19902375,11730208,,,1787003393692222000,1787003393743464015,11535000,0,,
67,2bc3e2cc-766c-49c2-8206-e56c0aa38789,0,1787003394185887000,35652208,19027416,,,1787003394204648000,1787003394264346152,18761000,0,,
68,33db5a70-c2eb-4ee3-9c1b-b2c51d16ed66,0,1787003394690996000,33726834,17303334,,,1787003394707861000,1787003394767337837,16865000,0,,
69,329c886d-6cfb-4728-84d4-511400898755,0,1787003395196601000,21938125,13049083,,,1787003395209296000,1787003395260454401,12695000,0,,
70,6c53bfd4-5298-4e86-a05b-31dfa8fc5518,0,1787003395699208000,39739792,22893250,,,1787003395722408000,1787003395781866847,23200000,0,,
71,2e081d0b-aae3-441f-bf64-4dfa183ecacc,0,1787003396202403000,20783958,12294833,,,1787003396214874000,1787003396266150622,12471000,0,,
72,f5bd655b-22a1-402c-854a-4e5a5a1e5eeb,0,1787003396707500000,28018208,11709666,,,1787003396718601000,1787003396778297794,11101000,0,,
73,ddbac99b-be8c-402c-a35e-fbab613cc5bd,0,1787003397212924000,25455417,16929375,,,1787003397230169000,1787003397280915889,17245000,0,,
74,e4c49506-dcb6-4191-8811-fb56653511b3,0,1787003397716808000,34473750,16496667,,,1787003397733784000,1787003397793114165,16976000,0,,
75,a19107f3-b611-48a9-8f95-81c67c661f94,0,1787003398222257000,44844042,18102958,,,1787003398240156000,1787003398309285566,17899000,0,,
76,9b62ca63-d101-4de5-98ac-39b93b4950c3,0,1787003398727774000,32885459,14893250,,,1787003398742315000,1787003398803006367,14541000,0,,
77,737c3b9e-9538-436e-862a-0f7e7931da21,0,1787003399232555000,32222583,13228708,,,1787003399246042000,1787003399305644493,13487000,0,,
78,677da774-f2b5-438f-9587-7764cd3a79dd,0,1787003399738016000,38088041,22880833,,,1787003399761120000,1787003399818063472,23104000,0,,
79,0b2c5b57-216b-41cb-8bda-49322e82c82f,0,1787003400240993000,20174833,10219542,,,1787003400250772000,1787003400302958998,9779000,0,,
80,c3738200-fada-4b00-97a3-c00267793563,0,1787003400741681000,33953167,16843250,,,1787003400758758000,1787003400818091641,17077000,0,,
81,757b1057-9a9b-44bd-b280-b69bcb08ba27,0,1787003401247197000,30910583,14036292,,,1787003401261082000,1787003401321162073,13885000,0,,
82,02400e87-b599-43d1-bcaf-53efaa5b0d22,0,1787003401751154000,33239000,12801833,,,1787003401763677000,1787003401824940037,12523000,0,,
83,3457165d-7859-46c5-8404-4d853ffddae5,0,1787003402256596000,28793959,10359542,,,1787003402266533000,1787003402326924351,9937000,0,,
84,fd4e4c6e-db80-484a-b642-51152e7f317d,0,1787003402761856000,35847541,19025416,,,1787003402780639000,1787003402839268630,18783000,0,,
85,94a11b53-44df-4448-88ea-acf60a0fd9f5,0,1787003403267346000,31755708,15587916,,,1787003403282552000,1787003403342001173,15206000,0,,
86,130d27f0-0ada-47c2-a346-70b49ea9c010,0,1787003403772767000,19883959,11377084,,,1787003403783883000,1787003403835759710,11116000,0,,
87,2275eb55-aecc-4771-8760-211fb341a804,0,1787003404278150000,34452250,14626833,,,1787003404293078000,1787003404353127958,14928000,0,,
88,23356542-d055-497b-bcd5-be653bc6a709,0,1787003404781936000,34714083,13901083,,,1787003404795588000,1787003404855823916,13652000,0,,
89,3e246cda-d990-48c8-9543-605f949f0c68,0,1787003405286167000,35453125,17063750,,,1787003405303044000,1787003405363756067,16877000,0,,
90,78e080ca-9d23-44cb-b4c2-8a53de68709b,0,1787003405790841000,42918583,24473125,,,1787003405815055000,1787003405875291519,24214000,0,,
91,3e37063d-a0d4-41ab-87f7-dcf57c290075,0,1787003406294228000,32122625,15138292,,,1787003406309142000,1787003406369124266,14914000,0,,
92,b79118b6-5dbc-4ec2-91c7-0d90682bf1e0,0,1787003406797103000,61307167,31478500,,,1787003406828734000,1787003406894949504,31631000,0,,
93,9f2e6547-31b4-45df-8be5-9d7f75ce704d,0,1787003407302452000,28190250,10899292,,,1787003407313626000,1787003407373241048,11174000,0,,
94,586e8e36-ef8d-454e-bfd3-a08fa5ce9961,0,1787003407807238000,35568291,18229875,,,1787003407825889000,1787003407885438452,18651000,0,,
95,b64484fb-efe8-4e3c-b869-238deb645c9e,0,1787003408310378000,35121292,18924625,,,1787003408328800000,1787003408388475845,18422000,0,,
96,52f4fca8-2e48-41c7-bc28-0fbce9559083,0,1787003408815828000,30758583,15779333,,,1787003408831376000,1787003408889440700,15548000,0,,
97,54963c76-2548-4512-9979-1b08a2f03dd6,0,1787003409321428000,38356542,20682459,,,1787003409341524000,1787003409401350257,20096000,0,,
98,6df152a0-33c9-4922-82de-43bcca0e960a,0,1787003409826681000,35982666,17113125,,,1787003409844051000,1787003409904255831,17370000,0,,
99,aa18d7b1-9875-4f14-9878-460f1c5ffa72,0,1787003410331488000,33812750,15625209,,,1787003410346830000,1787003410407369877,15342000,0,,
100,15ce93b8-2ddb-41a5-ba4d-c35dbf8ea87b,0,1787003410836520000,31890083,12883583,,,1787003410849171000,1787003410909975123,12651000,0,,
101,b4c2d66a-508e-453a-85bd-d7f7b622b652,0,1787003411342018000,36377000,18489084,,,1787003411360957000,1787003411420889202,18939000,0,,
102,6cae5233-0e38-45a4-be44-c0c11f4ac8f2,0,1787003411846379000,43860791,18828416,,,1787003411864994000,1787003411932865640,18615000,0,,
103,c8011d4d-915d-4e4f-88e4-a113ffe4b64e,0,1787003412351155000,33329958,16598291,,,1787003412367037000,1787003412426722240,15882000,0,,
104,7597777c-3082-412a-bac3-464a56a3c0d9,0,1787003412854064000,32313167,15221167,,,1787003412868958000,1787003412929414240,14894000,0,,
105,33b5a103-300a-4dba-a661-2ac193f78dbd,0,1787003413358368000,32932334,13555375,,,1787003413371677000,1787003413432285387,13309000,0,,
106,4e199c64-a282-4f0d-91ec-38a9816b7790,0,1787003413861284000,30720792,13380833,,,1787003413874854000,1787003413935274962,13570000,0,,
107,aa2fcf9a-26c9-455b-a0ca-0592c49154f5,0,1787003414366715000,143569500,73878334,,,1787003414429761000,1787003414492852349,63046000,0,,
108,20ace66d-805c-4185-bd4e-203fbde74ce7,0,1787003414872300000,148234791,77485291,,,1787003414950134000,1787003415005633191,77834000,0,,
109,859bf01f-be5e-428c-9fb1-86a8affc05d5,0,1787003415375281000,144327959,74629125,,,1787003415449715000,1787003415502903684,74434000,0,,
110,2dedda29-c32f-4729-b471-64298bf9f913,0,1787003415880794000,138924958,69116750,,,1787003415950254000,1787003416009454134,69460000,0,,
111,c711b8d2-735c-45d6-b224-550a4e0dd450,0,1787003416386271000,143759541,73410083,,,1787003416460022000,1787003416521280494,73751000,0,,
112,829328a0-5cda-455c-92c9-ce8053ec363d,0,1787003416890804000,139305083,69520333,,,1787003416959857000,1787003417020110342,69053000,0,,
113,bdfeb0a3-3ae5-42d1-945d-626008da6165,0,1787003417391692000,148080542,79165083,,,1787003417470598000,1787003417522979788,78906000,0,,
114,ecaaaf4c-2b57-43a9-9003-72826a3b7234,0,1787003417894427000,145439625,75533250,,,1787003417969622000,1787003418025815855,75195000,0,,
115,883059d6-a079-4a39-9d50-ba893de489f3,0,1787003418399009000,140657167,70770042,,,1787003418470202000,1787003418528693202,71193000,0,,
116,a77d6a3f-a575-448e-af68-15c108219292,0,1787003418904616000,135629250,75467708,,,1787003418979748000,1787003419031497407,75132000,0,,
117,ba620568-bc5f-4bdf-831d-b5b4f3a66d27,0,1787003419407426000,142641958,72506916,,,1787003419479673000,1787003419534349185,72247000,0,,
118,b9a47c28-a6e6-454c-b7c6-3e19510767ec,0,1787003419913080000,146921667,76388709,,,1787003419989699000,1787003420046613435,76619000,0,,
119,6f7e7bd0-f4da-496c-85de-14cf5f52f355,0,1787003420415214000,144442083,75204875,,,1787003420489682000,1787003420549390522,74468000,0,,
120,930b7ec3-cf7f-4125-a228-71f5efce6ea3,0,1787003420917237000,131657333,62595375,,,1787003420979289000,1787003421033784070,62052000,0,,
121,e3217bd9-7763-4a81-968c-2828a8e63592,0,1787003421422018000,146526875,77044167,,,1787003421498485000,1787003421554959383,76467000,0,,
122,8cf6f6ac-1af0-43dc-8385-dc1fe0c61616,0,1787003421922295000,145700709,75871917,,,1787003421998531000,1787003422057799392,76236000,0,,
123,21098720-fddd-41ef-a099-c26fdeb75983,0,1787003422422437000,134718792,64607833,,,1787003422487251000,1787003422542329293,64814000,0,,
124,660b813e-310c-46ce-a33d-024364710dcb,0,1787003422927196000,178512042,70756542,,,1787003422997510000,1787003423054374533,70314000,0,,
125,21fbba0b-79d1-46ff-bb24-1a75281bc4dc,0,1787003423428591000,147282083,77307500,,,1787003423506248000,1787003423566404081,77657000,0,,
126,1e4ff358-3f07-4a8c-9ae7-2d08ed82ba75,0,1787003423930755000,134936083,64481625,,,1787003423995402000,1787003424060120019,64647000,0,,
127,8f099384-a8a1-41bd-b602-da245cb9436a,0,1787003424435729000,138514917,69395958,,,1787003424504592000,1787003424562898856,68863000,0,,
128,466fb1c3-4c8b-48e4-9f06-ce961e04360d,0,1787003424937056000,147330167,77383542,,,1787003425014624000,1787003425074882617,77568000,0,,
129,a3dec851-29e8-48f3-9ebc-ef6b6c73b746,0,1787003425441917000,141565875,71778875,,,1787003425513362000,1787003425577794087,71445000,0,,
130,d5fb44bc-19dc-4a02-810c-42fa474e238b,0,1787003425946823000,125992084,66506000,,,1787003426012650000,1787003426071501495,65827000,0,,
131,62bb7d64-9dd6-4ff2-aa5d-392b7f20a1d6,0,1787003426450058000,142538041,72474125,,,1787003426522783000,1787003426583378733,72725000,0,,
132,d0e80f3d-1778-4de2-9b2e-84713dceae3a,0,1787003426955119000,156550541,77100416,,,1787003427031791000,1787003427104616711,76672000,0,,
133,536a0d5e-5c23-47e4-be30-f297883cb3b7,0,1787003427457635000,143570125,73459625,,,1787003427531259000,1787003427598752099,73624000,0,,
134,5a50486f-b53e-48b5-a806-7a7204047ddb,0,1787003427963029000,71531000,17398667,,,1787003427980113000,1787003428085950224,17084000,0,,
135,732e4b05-f766-45a1-b060-5e1445d49478,0,1787003428467936000,32627834,14638667,,,1787003428482842000,1787003428552035975,14906000,0,,
136,680a6291-c1f4-4902-b750-36f00e726f93,0,1787003428972961000,29642583,11667208,,,1787003428984856000,1787003429054791164,11895000,0,,
137,bec0345b-701d-447a-a17f-f07ec5b6e6ac,0,1787003429477908000,35983125,18077125,,,1787003429495860000,1787003429566750124,17952000,0,,
138,2af734dc-8d3f-44d1-bb90-65561ca04569,0,1787003429980029000,35220375,18615083,,,1787003429998518000,1787003430069289551,18489000,0,,
139,7a3d204f-17a0-4065-845b-f5a389770835,0,1787003430484929000,34193416,16660375,,,1787003430501803000,1787003430572688170,16874000,0,,
140,afdaa981-660c-4b45-980e-8787f12d4068,0,1787003430987845000,34874333,16459750,,,1787003431004672000,1787003431075737467,16827000,0,,
141,ca1cd961-e749-442e-a383-658197b1a5e6,0,1787003431493482000,39311792,22667334,,,1787003431516581000,1787003431587584481,23099000,0,,
142,71daa9e3-43ec-4400-b2f8-755f05758b05,0,1787003431998568000,37865834,20341625,,,1787003432018231000,1787003432090784001,19663000,0,,
143,b488195f-313a-419f-8c42-650456a0fc8e,0,1787003432501406000,36564917,19681542,,,1787003432521353000,1787003432593709700,19947000,0,,
144,77fdc7ab-ddb5-41af-970e-2254ae466cab,0,1787003433005313000,45336792,18279333,,,1787003433023375000,1787003433105684970,18062000,0,,
145,91f23890-050c-44a8-8302-1d6c25861522,0,1787003433510051000,24122292,15172375,,,1787003433525075000,1787003433589924342,15024000,0,,
146,02fba155-3e75-46f0-ad55-1c5303da5ff5,0,1787003434014972000,140801208,71074417,,,1787003434085797000,1787003434156317230,70825000,0,,
147,6292f498-10ba-4013-9a42-45caba933995,0,1787003434518411000,137027167,67919500,,,1787003434586104000,1787003434658322259,67693000,0,,
148,02530b56-f26b-431a-b529-cd266e18b7d6,0,1787003435021793000,133297833,73556791,,,1787003435095098000,1787003435161154546,73305000,0,,
149,a62953eb-2482-4da2-9127-0c887ba2bbae,0,1787003435526284000,138772209,68715959,,,1787003435595194000,1787003435663998922,68910000,0,,
150,fb9d9439-6f72-402a-9ff4-e99ebe4c2c05,0,1787003436031787000,152794125,82777084,,,1787003436114754000,1787003436185125802,82967000,0,,
151,14ebf419-3654-4bb9-9c06-9dbff5d60a77,0,1787003436533857000,160537083,70862875,,,1787003436604413000,1787003436697186966,70556000,0,,
152,85c421ba-0111-473f-bcc7-1590576f1c23,0,1787003437038985000,145170542,76998083,,,1787003437115554000,1787003437190754960,76569000,0,,
153,835dc94e-8402-4c43-92c2-fe87fa7095dd,0,1787003437541251000,152503667,72520875,,,1787003437613966000,1787003437693764262,72715000,0,,
154,c192904b-8609-46dd-9524-42450e0e4467,0,1787003438045106000,75241583,62743167,,,1787003438107487000,1787003438178430165,62381000,0,,
155,2687aad3-2db9-4848-a3e7-14fcedfb892f,0,1787003438549506000,36337166,18543791,,,1787003438567704000,1787003438644377757,18198000,0,,
156,06d194e4-c20c-4691-bd97-ac324402f17a,0,1787003439053240000,34389541,17399125,,,1787003439070859000,1787003439147068841,17619000,0,,
157,0683b490-226a-410e-aca1-5b0196615853,0,1787003439557325000,25239750,16015375,,,1787003439573123000,1787003439641175955,15798000,0,,
158,f930b4d4-dd3c-4b0c-98fc-f43e954474dd,0,1787003440060815000,24444791,14591833,,,1787003440075634000,1787003440144090345,14819000,0,,
159,f8153f9b-af74-4eea-b100-5061bd740cad,0,1787003440565198000,20994625,12728667,,,1787003440578147000,1787003440646466706,12949000,0,,
160,b42098cd-1aa0-4ea2-9b27-a421eab41982,0,1787003441070379000,28862083,11270750,,,1787003441082014000,1787003441159016663,11635000,0,,
161,369c95f9-1971-4cdc-b071-cfebef3fe9cf,0,1787003441575629000,35427666,17107500,,,1787003441593021000,1787003441670729940,17392000,0,,
162,9b9c8c0c-6087-4ba4-8359-39625e691142,0,1787003442080855000,41541667,23715792,,,1787003442104917000,1787003442182809319,24062000,0,,
163,9ecd8c57-47d1-4018-9dc4-ec0679e8643b,0,1787003442585891000,38633833,21415833,,,1787003442607605000,1787003442685221483,21714000,0,,
164,e56394e9-216a-4151-a2a5-9b4dcc36b298,0,1787003443091117000,27999834,10163375,,,1787003443101549000,1787003443179885482,10432000,0,,
165,74e7ef06-f793-427e-90e4-ce0653052b78,0,1787003443593110000,28498958,11223750,,,1787003443604120000,1787003443682893365,11010000,0,,
166,95223177-2515-4e5e-acbf-1ff3e517e3f5,0,1787003444096711000,28545625,10648334,,,1787003444107010000,1787003444185632354,10299000,0,,
167,4575ec32-422f-45b7-9f10-4818725ad3e2,0,1787003444596999000,30324250,13941291,,,1787003444610591000,1787003444688940263,13592000,0,,
168,7837a3cf-7309-42f4-95a0-744d9e342fb7,0,1787003445098299000,32373584,13967959,,,1787003445112580000,1787003445191245583,14281000,0,,
169,fb481f00-7109-4598-b64b-5bc1f306e63d,0,1787003445600682000,32313000,14940042,,,1787003445615896000,1787003445694407149,15214000,0,,
170,59bc4517-dcfa-4032-bab5-1454e8b848e8,0,1787003446104925000,30384000,12417375,,,1787003446117767000,1787003446197286229,12842000,0,,
171,83205e7a-3c7c-4bbb-9947-298c194749d5,0,1787003446610242000,28160375,10369500,,,1787003446620269000,1787003446699784930,10027000,0,,
172,db24703a-45ff-4067-9c7b-a13f382e2c95,0,1787003447112919000,28939500,9861334,,,1787003447123186000,1787003447202618056,10267000,0,,
173,fa285a99-a0d5-4193-80de-ccf5aef5d453,0,1787003447614043000,38695416,20656041,,,1787003447634946000,1787003447714604337,20903000,0,,
174,495eae77-c7cc-4b46-96c4-3f0db7426347,0,1787003448119403000,35456209,18062792,,,1787003448137808000,1787003448217448495,18405000,0,,
175,d21555cc-da41-4210-b291-9a25a7a874ae,0,1787003448622687000,146796416,77120791,,,1787003448699523000,1787003448775472887,76836000,0,,
176,43cc48d3-5a3c-42c7-a14c-5867baaa3f28,0,1787003449125475000,143695041,74471083,,,1787003449199595000,1787003449278479194,74120000,0,,
177,af70c278-d8d2-4a2b-90e6-643d35bf33ce,0,1787003449628965000,140575917,70740583,,,1787003449700005000,1787003449781075440,71040000,0,,
178,b1844fe3-f140-4f8c-a894-aeeeded3c2e1,0,1787003450131989000,137621458,67198500,,,1787003450198812000,1787003450275243085,66823000,0,,
179,f3d66c87-c741-4dc7-a26a-907a241702cc,0,1787003450637063000,142495084,72657750,,,1787003450709362000,1787003450786957196,72299000,0,,
180,37f0abbd-78f9-473f-b329-6de69cb6027b,0,1787003451142640000,136716666,66666541,,,1787003451209039000,1787003451289768392,66399000,0,,
181,55f46bb8-cac0-4a98-938f-f1b8aec75e6d,0,1787003451645132000,143998791,64168500,,,1787003451709073000,1787003451792657913,63941000,0,,
182,87d60fd3-a942-4865-b8da-94319f20bc79,0,1787003452148181000,140980959,70578375,,,1787003452218482000,1787003452295503055,70301000,0,,
183,c97da01f-73d6-4567-ab8e-40c21a1bd4f9,0,1787003452652294000,146474792,76920042,,,1787003452728673000,1787003452807397992,76379000,0,,
184,31a99aad-d7ca-43b5-ab9a-d92e2f3e86bc,0,1787003453153131000,136064625,65335667,,,1787003453218250000,1787003453292088700,65119000,0,,
185,543855e7-cac9-4642-bf77-fdb760019c71,0,1787003453654839000,133584083,64102750,,,1787003453718228000,1787003453795088179,63389000,0,,
186,10e8750b-6b3f-4dc1-b1e1-8af6a2567448,0,1787003454160123000,138141375,68674500,,,1787003454228394000,1787003454306781644,68271000,0,,
187,ea4bab0b-df5b-4e88-9872-6568ed1f087b,0,1787003454661760000,146832666,76489250,,,1787003454738036000,1787003454817104112,76276000,0,,
188,4351b346-070f-4ef7-90c8-6accc608613d,0,1787003455164800000,133199500,64248250,,,1787003455228677000,1787003455310869947,63877000,0,,
