participant,finger,logit,probability
P14,R5,-2.7760042670736147,0.0028229155580528067
P15,L1,-0.8647163572404065,0.016177246336547456
P15,L2,2.3136727236347614,0.38838409622679204
P15,L3,1.3188855834797995,0.14362527466325872
P15,L4,-0.32823413659188594,0.027662782797453926
P15,L5,-1.2962029077425974,0.010507813857527786
P15,R1,-0.4865619625134119,0.02361211912660171
P15,R2,1.9914355619388915,0.2813945077755616
P15,R3,0.8742859518563962,0.09207541936357837
P15,R4,-1.061981432973271,0.013281082205125718
P15,R5,-2.460583023848776,0.0032796576475526145
P16,L1,-2.1866918654295784,0.005751474193134615
P16,L2,1.121113164206376,0.15715950310951782
P16,L3,0.3122061432972141,0.06999012859898969
P16,L4,-0.2651250198850867,0.039292083027845724
P16,L5,-1.4712262492852892,0.011762562513109413
P16,R1,-1.6634143339005467,0.009705897931366012
P16,R2,1.4871320534548198,0.2266212501064144
P16,R3,1.7166679212695324,0.28509315601270546
P16,R4,1.069005072950399,0.1491799270833455
P16,R5,-0.11966688667834657,0.0454440174235715
P17,L1,-1.632670998283343,0.01237553486153344
P17,L2,1.2779817636501338,0.22732354034546537
P17,L3,0.7349673675256803,0.13207367283959376
P17,L4,-0.6366606659804623,0.0335062457233943
P17,L5,-1.6850632371424905,0.011743845190713424
P17,R1,0.5059991110059349,0.10504529498446905
P17,R2,1.3120598811798523,0.23520380841122104
P17,R3,0.852461168990067,0.1485399129090959
P17,R4,0.009255486377438726,0.06392100430982282
P17,R5,-0.7383298773233087,0.030267140424691082
P18,L1,-1.2848504312495475,0.011647692261204712
P18,L2,1.4471799870446123,0.17895573585183247
P18,L3,1.5544750658592985,0.19922474679465219
P18,L4,0.9251867849045519,0.10618101086188346
P18,L5,-1.1450828703148273,0.013394921360337474
P18,R1,0.08280401683949756,0.045730365001925316
P18,R2,2.2543808351030434,0.4011515706559195
P18,R3,-0.4510912804259446,0.026812473867420052
P18,R4,-1.2713145550573526,0.011806425857138897
P18,R5,-2.111687552703819,0.005095057487685813
P19,L1,-1.5273874842512316,0.009764001661527584
P19,L2,0.9347658025923749,0.11453215457390678
P19,L3,1.7057174483972477,0.24759819612605066
P19,L4,0.2737873691005707,0.059138205815831985
P19,L5,-0.6354085751940284,0.023823708296322167
P19,R1,-1.069264335314041,0.015437899176433494
P19,R2,1.9010219155849237,0.30100043879412247
P19,R3,1.4907813353365695,0.19971096420350953
P19,R4,-0.575376948106149,0.02529768422270065
P19,R5,-2.4986365281467484,0.003696747129594748
P20,L1,-1.304635787496473,0.01639331010924058
P20,L2,1.6571099989826876,0.3169104107232902
P20,L3,1.029985475680517,0.16926991899007435
P20,L4,0.7532422165572839,0.1283487714623255
P20,L5,-0.17142584455749632,0.05091121709265902
P20,R1,-1.9411326733785481,0.008674402484191684
P20,R2,0.9000996257599234,0.14865211013920465
P20,R3,0.4179791954405181,0.09178861904322319
P20,R4,-0.1911195278222168,0.049918395949053083
P20,R5,-1.1501026791666704,0.019132844006737787
