participant,finger,share,count
P18,L3,0.17777777777777778,48
P18,L4,0.1,27
P18,L5,0.007407407407407408,2
P18,R1,0.05185185185185185,14
P18,R2,0.4777777777777778,129
P18,R3,0.014814814814814815,4
P18,R4,0.003703703703703704,1
P18,R5,0.003703703703703704,1
P19,L1,0.0,0
P19,L2,0.1037037037037037,28
P19,L3,0.2222222222222222,60
P19,L4,0.05555555555555555,15
P19,L5,0.02962962962962963,8
P19,R1,0.003703703703703704,1
P19,R2,0.337037037037037,91
P19,R3,0.21851851851851853,59
P19,R4,0.02962962962962963,8
P19,R5,0.0,0
P20,L1,0.0,0
P20,L2,0.21481481481481482,58
P20,L3,0.1111111111111111,30
P20,L4,0.08888888888888889,24
P20,L5,0.044444444444444446,12
P20,R1,0.0,0
P20,R2,0.24814814814814815,67
P20,R3,0.15555555555555556,42
P20,R4,0.0962962962962963,26
P20,R5,0.040740740740740744,11
