participant,trial_index,phase,phase_number,is_performance,quiz_name,event_index,melody,target_note,target_note_name,target_finger,target_onset_s,target_offset_s,target_duration_s,target_duration_beats,target_hand,actual_note,actual_finger,actual_onset_time,actual_offset_time,actual_duration_s,due_time,cue_onset_time,key_correct,finger_correct,finger_reviewed,played,signed_onset_error_ms,absolute_onset_error_ms,rt_ms,duration_error_ms,absolute_duration_error_ms,complete_success,recue_count,first_cue_onset_time,validity
P01,3,training,3,False,rhythm-P01-T03,6,melody_seed415411,62,D4,R2,9.0,9.75,0.75,1.0,R,62,R2,1787936599.963918,1787936600.5203788,0.5564608573913574,,1787936599.60347,True,True,False,True,,,360.44788360595703,-193.53914260864258,193.53914260864258,False,0,1787936599.60347,valid
P01,3,training,3,False,rhythm-P01-T03,7,melody_seed415411,59,B3,L2,10.0,11.75,1.75,2.0,L,59,L2,1787936601.88716,1787936604.3469398,2.459779739379883,,1787936601.138518,True,True,False,True,,,748.6419677734375,709.7797393798828,709.7797393798828,False,0,1787936601.138518,valid
P01,3,training,3,False,rhythm-P01-T03,8,melody_seed415411,59,B3,L2,13.0,13.75,0.75,1.0,L,59,L2,1787936604.587337,1787936605.883223,1.2958860397338867,,1787936604.073885,True,True,False,True,,,513.4520530700684,545.8860397338867,545.8860397338867,False,0,1787936604.073885,valid
P01,3,training,3,False,rhythm-P01-T03,9,melody_seed415411,60,C4,L1,14.0,14.75,0.75,1.0,L,60,R2,1787936606.22334,1787936607.633335,1.4099950790405273,,1787936605.7756429,True,False,False,True,,,447.6971626281738,659.9950790405273,659.9950790405273,False,0,1787936605.7756429,valid
P01,3,training,3,False,rhythm-P01-T03,10,melody_seed415411,59,B3,L2,15.0,15.75,0.75,1.0,L,59,L2,1787936607.864099,1787936609.484959,1.6208598613739014,,1787936607.408642,True,True,False,True,,,455.4569721221924,870.8598613739014,870.8598613739014,False,0,1787936607.408642,valid
P01,3,training,3,False,rhythm-P01-T03,11,melody_seed415411,55,G3,L4,16.0,17.75,1.75,2.0,L,55,L4,1787936609.6728268,1787936612.1582599,2.4854331016540527,,1787936609.044312,True,True,False,True,,,628.5147666931152,735.4331016540527,735.4331016540527,False,0,1787936609.044312,valid
P01,3,training,3,False,rhythm-P01-T03,12,melody_seed415411,55,G3,L4,19.0,19.75,0.75,1.0,L,55,L4,1787936612.298492,1787936613.6844,1.3859081268310547,,1787936611.845618,True,True,False,True,,,452.87394523620605,635.9081268310547,635.9081268310547,False,0,1787936611.845618,valid
P01,3,training,3,False,rhythm-P01-T03,13,melody_seed415411,59,B3,L2,20.0,20.75,0.75,1.0,L,59,L2,1787936613.9625962,1787936615.4650931,1.5024969577789307,,1787936613.480116,True,True,False,True,,,482.4802875518799,752.4969577789307,752.4969577789307,False,0,1787936613.480116,valid
P01,3,training,3,False,rhythm-P01-T03,14,melody_seed415411,60,C4,L1,21.0,23.75,2.75,3.0,L,60,L1,1787936616.062897,,,,1787936615.182654,True,True,False,True,,,880.2430629730225,,,False,0,1787936615.182654,valid
P01,4,training,4,False,rhythm-P01-T04,0,melody_seed415411,67,G4,R5,0.0,0.75,0.75,1.0,R,67,R5,1787936631.156118,1787936632.361461,1.2053430080413818,,1787936629.8923872,True,True,False,True,,,1263.730764389038,455.34300804138184,455.34300804138184,False,0,1787936629.8923872,valid
