participant,condition,level,repetition,fa_main,rt_correct_key_s,rt_complete_s
P06,C,alpha,1,1.0,0.9357915719350179,0.9357915719350179
P06,C,alpha,2,1.0,0.7244583288828532,0.7244583288828532
P06,C,alpha,3,1.0,0.7509431123733521,0.7509431123733521
P06,C,beta,1,1.0,0.890500275293986,0.890500275293986
P06,C,beta,2,1.0,0.6718317111333211,0.6718317111333211
P06,C,beta,3,1.0,0.8913174629211426,0.8913174629211426
P06,C,gamma,1,1.0,0.7148908535639446,0.7148908535639446
P06,C,gamma,2,1.0,0.8505030314127604,0.8505030314127604
P06,C,gamma,3,1.0,0.6632241487503052,0.6632241487503052
P07,B,alpha,1,0.9666666666666667,0.9569301048914591,0.9564472149158346
P07,B,alpha,2,1.0,0.9762665828069051,0.9762665828069051
P07,B,alpha,3,1.0,0.7897416273752849,0.7897416273752849
P07,B,beta,1,1.0,0.8139209906260173,0.8139209906260173
P07,B,beta,2,0.9666666666666667,0.7982904036839803,0.7993876934051514
P07,B,beta,3,0.9666666666666667,0.8290019830067953,0.8261592881432895
P07,B,gamma,1,0.9333333333333333,0.9817495028177897,0.9880471059254238
P07,B,gamma,2,1.0,0.9175469636917114,0.9175469636917114
P07,B,gamma,3,1.0,0.894610587755839,0.894610587755839
P07,C,alpha,1,0.8333333333333334,0.9726436138153076,0.9487022113800049
P07,C,alpha,2,0.9666666666666667,0.8534084876378377,0.8597676096291378
P07,C,alpha,3,1.0,0.7454088052113851,0.7454088052113851
P07,C,beta,1,0.9666666666666667,0.8765154600143432,0.8780308920761635
P07,C,beta,2,1.0,0.7102896213531494,0.7102896213531494
P07,C,beta,3,0.9333333333333333,0.7476381619771322,0.7602842450141907
P07,C,gamma,1,1.0,0.8381993532180786,0.8381993532180786
P07,C,gamma,2,0.9666666666666667,0.7678192648394354,0.7678192648394354
P07,C,gamma,3,0.9333333333333333,0.9526287953058878,0.9369739975248065
P08,B,alpha,1,1.0,1.2287428696950278,1.2287428696950278
P08,B,alpha,2,0.9333333333333333,1.0457573572794596,1.0390408039093018
P08,B,alpha,3,0.8333333333333334,0.9349428097407023,0.9032921409606933
P08,B,beta,1,0.8666666666666667,1.3093425273895263,1.2490379076737623
P08,B,beta,2,0.9,1.063976001739502,1.0725828806559246
P08,B,beta,3,0.9,1.06434166431427,1.072553484528153
P08,B,gamma,1,0.8,1.6870772412845068,1.7050755620002747
P08,B,gamma,2,0.8,1.0136039813359579,1.0146557490030925
P08,B,gamma,3,0.9333333333333333,1.1042648235956827,1.119898498058319
P08,C,alpha,1,1.0,0.7401425202687582,0.7401425202687582
P08,C,alpha,2,1.0,0.5672500610351563,0.5672500610351563
P08,C,alpha,3,0.9666666666666667,0.6527091185251872,0.6475549073054873
