participant,finger_id,baseline,cued,benefit,average
P08,5,1.220342743396759,0.8246891011997145,0.3956536421970446,1.0225159222982367
P09,1,1.0165578573942184,0.6032568506292395,0.41330100676497894,0.809907354011729
P09,2,0.8691120834673866,0.5633827192442757,0.3057293642231108,0.7162474013558311
P09,3,0.9905604041855911,0.6155300321000995,0.3750303720854916,0.8030452181428454
P09,4,1.0278476549654592,0.755715545342893,0.2721321096225662,0.8917816001541761
P09,5,0.9663385530797447,0.7365110913912455,0.2298274616884992,0.8514248222354951
P10,1,0.9089258532775076,0.6818769602548509,0.22704889302265674,0.7954014067661792
P10,2,0.8225903558731079,0.6328931354707287,0.18969722040237924,0.7277417456719183
P10,3,0.9208978629503094,0.5851684425558362,0.3357294203944732,0.7530331527530728
P10,4,1.0531840459355768,0.5943415003307795,0.4588425456047973,0.8237627731331781
P10,5,1.0603237797816594,0.7403260834363042,0.31999769634535513,0.9003249316089819
P11,1,0.7144648187300738,0.48877905011177064,0.2256857686183032,0.6016219344209223
P11,2,0.7533537578582764,0.4712811345639436,0.2820726232943328,0.6123174462111101
P11,3,0.675767550101647,0.4909061088896634,0.1848614412119836,0.5833368294956552
P11,4,0.7875662878447888,0.5219981372356415,0.2655681506091473,0.6547822125402152
P11,5,0.77572435599107,0.6529935139876145,0.12273084200345552,0.7143589349893422
P12,1,0.868475874265035,0.738406533286685,0.13006934097835,0.80344120377586
P12,2,0.8760796412825584,0.6853814537708576,0.19069818751170087,0.780730547526708
P12,3,0.9230722653663764,0.6616989818971548,0.2613732834692216,0.7923856236317657
P12,4,1.040778398513794,0.7259965240955353,0.31478187441825867,0.8833874613046646
P12,5,1.0623685038366983,0.8463223526875178,0.21604615114918058,0.954345428262108
P13,1,0.8773607857087079,0.7265021514892578,0.15085863421945012,0.8019314685989829
P13,2,0.8576403141021729,0.5715137595561013,0.2861265545460716,0.7145770368291371
P13,3,0.8007982261478901,0.5774376315455283,0.2233605946023618,0.6891179288467092
P13,4,0.9318470827170781,0.6499337802330653,0.2819133024840128,0.7908904314750717
P13,5,0.9908230353374871,0.8381900900886172,0.15263294524886983,0.9145065627130522
P14,1,0.9340185105800629,0.8167318635516696,0.11728664702839331,0.8753751870658663
P14,2,1.0489655913728657,0.9605981773800321,0.08836741399283365,1.0047818843764489
P14,3,0.9717390369950679,0.7681978441053822,0.20354119288968575,0.869968440550225
P14,4,1.0305439023410572,0.8487234732200359,0.18182042912102125,0.9396336877805466
P14,5,1.0724762206853822,0.954209240583273,0.11826698010210912,1.0133427306343277
P15,1,0.8287384957075119,0.7477793053882879,0.08095919031922405,0.7882589005478999
P15,2,0.885869255065918,0.5326637199946812,0.35320553507123675,0.7092664875302996
P15,3,0.9091760990983349,0.576694293455644,0.3324818056426908,0.7429351962769895
P15,4,0.9434923198488023,0.6231000648354584,0.3203922550133439,0.7832961923421304
P15,5,0.9239222558878236,0.8124339289781524,0.11148832690967125,0.868178092432988
