participant,condition,finger_id,n,n_left,n_right,n_judged,fa,rt_s,n_rt_complete,rt_complete_s
P03,C,2,63,34,29,63,1.0,0.6337498218294174,63,0.6337498218294174
P03,C,3,64,35,29,64,1.0,0.7283820696175098,64,0.7283820696175098
P03,C,4,54,24,30,54,0.9814814814814815,0.7932136676929615,53,0.799798641564711
P03,C,5,47,22,25,47,0.9574468085106383,0.9209569515065944,45,0.9328187942504883
P04,B,1,42,25,17,42,1.0,1.0404005845387776,42,1.0404005845387776
P04,B,2,54,28,26,54,1.0,1.1175556006254974,54,1.1175556006254974
P04,B,3,62,28,34,62,0.967741935483871,1.4491823373302337,60,1.4592876791954041
P04,B,4,55,23,32,55,0.9636363636363636,1.5323507439006459,53,1.556030439880659
P04,B,5,56,28,28,56,1.0,1.1516959539481573,56,1.1516959539481573
P04,C,1,36,18,18,36,1.0,0.8147028022342258,36,0.8147028022342258
P04,C,2,62,31,31,62,1.0,0.6876000319757769,62,0.6876000319757769
P04,C,3,70,36,34,70,0.9857142857142858,0.843057370185852,69,0.8452838296475618
P04,C,4,53,33,20,53,1.0,1.0081257280313745,53,1.0081257280313745
P04,C,5,49,25,24,49,1.0,0.9863772927498331,49,0.9863772927498331
P05,B,1,38,19,19,38,0.9736842105263158,1.0996323823928833,37,1.109553201778515
P05,B,2,58,28,30,58,0.9482758620689655,1.1540622875608246,55,1.164942741394043
P05,B,3,66,32,34,66,0.9696969696969697,0.9893122586337003,64,0.9935622476041317
P05,B,4,58,33,25,58,0.9482758620689655,1.1646954396675373,55,1.177758754383434
P05,B,5,50,29,21,50,0.84,1.162917513847351,42,1.2278630960555303
P05,C,1,51,25,26,51,0.9803921568627451,0.7999376455942789,50,0.7963827800750732
P05,C,2,63,34,29,63,0.9841269841269841,0.7415323862953792,62,0.7279108608922651
P05,C,3,60,30,30,60,0.9833333333333333,0.8270983854929607,59,0.8126512220350363
P05,C,4,47,26,21,47,0.9787234042553191,0.8854991882405383,46,0.8879682603089706
P05,C,5,49,22,27,49,0.9591836734693877,0.9396256573346197,47,0.9430760728551987
P06,B,1,52,23,29,52,0.9807692307692307,1.1714582122289217,51,1.1672453740063835
P06,B,2,73,38,35,73,0.9726027397260274,0.8881462534813032,71,0.8627289516825072
P06,B,3,59,29,30,59,0.9322033898305084,1.08079070964102,55,1.0751129583878951
P06,B,4,51,23,28,51,0.9803921568627451,1.1517928581611783,50,1.1498910140991212
P06,B,5,35,18,17,35,0.8857142857142857,1.2369727884020125,31,1.2379494943926412
P06,C,1,30,15,15,30,1.0,0.7023042440414429,30,0.7023042440414429
P06,C,2,53,27,26,53,1.0,0.6267618953057055,53,0.6267618953057055
P06,C,3,68,34,34,68,1.0,0.7919041935135337,68,0.7919041935135337
P06,C,4,55,30,25,55,1.0,0.9300499482588335,55,0.9300499482588335
P06,C,5,64,33,31,64,1.0,0.8361574187874794,64,0.8361574187874794
P07,B,1,31,17,14,31,1.0,0.7920363103189776,31,0.7920363103189776
P07,B,2,53,28,25,53,1.0,0.8547528284900593,53,0.8547528284900593
P07,B,3,70,33,37,70,0.9857142857142858,0.8995903832571847,69,0.8985564190408458
P07,B,4,57,29,28,57,1.0,0.9342460883291144,57,0.9342460883291144
P07,B,5,59,30,29,59,0.9322033898305084,0.8925997119838909,55,0.8945146864110773
P07,C,1,42,22,20,42,1.0,0.8480919996897379,42,0.8480919996897379
P07,C,2,83,42,41,83,0.9156626506024096,0.8573722063776958,76,0.8395131324466906
P07,C,3,55,30,25,55,0.9636363636363636,0.7753866802562367,53,0.7769252939044304
P07,C,4,55,26,29,55,0.9636363636363636,0.7759600335901434,53,0.7743342822452761
P07,C,5,35,15,20,35,0.9714285714285714,0.9064023835318429,34,0.9141475032357609
P08,B,1,38,17,21,38,0.9473684210526315,1.0238971647463346,36,0.9997208383348253
P08,B,2,69,38,31,69,0.9565217391304348,1.0726892982704053,66,1.0521008462616892
P08,B,3,65,36,29,65,0.8461538461538461,1.1798406417553242,55,1.1977310570803557
P08,B,4,50,26,24,50,0.84,1.3291128158569336,42,1.3201091686884563
P08,B,5,48,20,28,48,0.8333333333333334,1.1749711732069652,40,1.220342743396759
P08,C,1,48,23,25,48,0.9791666666666666,0.6973908146222433,47,0.6941611918997257
P08,C,2,61,32,29,61,1.0,0.6513463903646,61,0.6513463903646
P08,C,3,52,21,31,52,1.0,0.6871277598234323,52,0.6871277598234323
P08,C,4,56,28,28,56,1.0,0.7179072541849953,56,0.7179072541849953
P08,C,5,53,27,26,53,0.9245283018867925,0.8256457571713429,49,0.8246891011997145
P09,B,1,51,24,27,51,0.9411764705882353,1.0081663178462608,48,1.0165578573942184
P09,B,2,62,32,30,62,0.9516129032258065,0.8724287248426869,59,0.8691120834673866
P09,B,3,64,30,34,64,0.90625,0.9937159232795238,58,0.9905604041855911
P09,B,4,51,28,23,51,0.9607843137254902,1.0389104917937635,49,1.0278476549654592
P09,B,5,42,21,21,42,0.9761904761904762,0.979480402810233,41,0.9663385530797447
P09,C,1,38,18,20,38,0.9736842105263158,0.6092094873127184,37,0.6032568506292395
P09,C,2,56,28,28,56,1.0,0.5633827192442757,56,0.5633827192442757
P09,C,3,66,32,34,66,1.0,0.6155300321000995,66,0.6155300321000995
P09,C,4,50,26,24,50,0.98,0.7500197744369507,49,0.755715545342893
P09,C,5,60,31,29,60,1.0,0.7365110913912455,60,0.7365110913912455
P10,B,1,39,17,22,39,0.9743589743589743,0.9088082680335412,38,0.9089258532775076
P10,B,2,53,25,28,53,0.9433962264150944,0.8422730148963209,50,0.8225903558731079
P10,B,3,67,30,37,67,0.9104477611940298,0.92528622186006,61,0.9208978629503094
P10,B,4,60,40,20,60,0.8833333333333333,1.0417938669522604,53,1.0531840459355768
P10,B,5,51,29,22,51,0.9411764705882353,1.057257189470179,48,1.0603237797816594
P10,C,1,42,24,18,42,1.0,0.6818769602548509,42,0.6818769602548509
P10,C,2,62,36,26,62,1.0,0.6328931354707287,62,0.6328931354707287
P10,C,3,56,29,27,56,1.0,0.5851684425558362,56,0.5851684425558362
P10,C,4,59,24,35,59,1.0,0.5943415003307795,59,0.5943415003307795
P10,C,5,51,22,29,51,0.9607843137254902,0.7418125563976812,49,0.7403260834363042
P11,B,1,36,16,20,36,0.9444444444444444,0.7177650464905633,34,0.7144648187300738
P11,B,2,50,25,25,50,1.0,0.7533537578582764,50,0.7533537578582764
P11,B,3,69,33,36,69,0.9420289855072463,0.6832655443661455,65,0.675767550101647
P11,B,4,57,35,22,57,0.8947368421052632,0.8172985336236787,51,0.7875662878447888
P11,B,5,58,32,26,58,0.896551724137931,0.7914534437245336,52,0.77572435599107
P11,C,1,42,20,22,42,0.9523809523809523,0.48476043201628183,40,0.48877905011177064
P11,C,2,72,37,35,72,0.9583333333333334,0.465532080994712,69,0.4712811345639436
P11,C,3,58,29,29,58,0.9827586206896551,0.500342348526264,57,0.4909061088896634
