level,level_occurrence,metric,n,mean,sd,sem,ci95_lo,ci95_hi
alpha,2,finger_switch_rate_pct,14,54.43349753694581,26.092819263191295,6.973599281276936,39.367952226943665,69.49904284694794
alpha,3,finger_switch_rate_pct,14,49.014778325123146,25.810862530793155,6.89824317481064,34.11202998560387,63.91752666464242
beta,1,finger_switch_rate_pct,14,70.6896551724138,19.681447373415445,5.260088067653035,59.325925780822246,82.05338456400534
beta,2,finger_switch_rate_pct,14,57.52990851513018,21.316387227489717,5.697044123505043,45.22219295622435,69.83762407403601
beta,3,finger_switch_rate_pct,14,55.91133004926109,25.881639683625497,6.917159164575637,40.96771619834753,70.85494390017465
gamma,1,finger_switch_rate_pct,14,76.70654468684025,15.591411150588161,4.166979907273413,67.70433190305654,85.70875747062395
gamma,2,finger_switch_rate_pct,14,77.58620689655172,16.272512355924974,4.349011861279779,68.19073798485798,86.98167580824546
gamma,3,finger_switch_rate_pct,14,73.01196340605206,14.278187340919331,3.8160060809923566,64.76798347580475,81.25594333629937
alpha,1,key_accuracy_pct,14,99.04761904761905,2.0374994850070887,0.5445446427589197,97.87120186935795,100.22403622588016
alpha,2,key_accuracy_pct,14,99.28571428571429,1.9297807450727986,0.5157555985468398,98.1714920562185,100.39993651521009
alpha,3,key_accuracy_pct,14,99.28571428571429,1.9297807450727986,0.5157555985468398,98.1714920562185,100.39993651521009
beta,1,key_accuracy_pct,14,98.80952380952382,1.6574838603294872,0.4429811949614581,97.85252112052666,99.76652649852099
beta,2,key_accuracy_pct,14,99.52380952380953,1.2104550653376032,0.3235077240413126,98.82491357666707,100.222705470952
beta,3,key_accuracy_pct,14,100.0,0.0,0.0,100.0,100.0
gamma,1,key_accuracy_pct,14,98.79310344827586,2.1573375507992854,0.576572713050925,97.54749383082893,100.03871306572279
gamma,2,key_accuracy_pct,14,98.80952380952381,1.6574838603294875,0.4429811949614582,97.85252112052665,99.76652649852097
gamma,3,key_accuracy_pct,14,98.80952380952381,2.111078979255503,0.564209589771039,97.59062309610673,100.0284245229409
alpha,1,median_correct_key_rt_ms,14,424.4840315410069,61.06742462031261,16.320955744418107,389.2247503072497,459.74331277476415
alpha,2,median_correct_key_rt_ms,14,404.58225352423534,58.99682957587714,15.767565941344575,370.5184982758443,438.6460087726264
alpha,3,median_correct_key_rt_ms,14,389.48144231523787,58.58529855703939,15.65757965016451,355.6552980029528,423.30758662752294
beta,1,median_correct_key_rt_ms,14,432.87194626671925,61.083224438772916,16.325178423521802,397.6035424893801,468.1403500440584
beta,2,median_correct_key_rt_ms,14,411.59747328077043,68.07699826602804,18.194343102248617,372.2909847177425,450.90396184379836
beta,3,median_correct_key_rt_ms,14,389.16962487357006,47.62894168181753,12.729370104856988,361.66949268252256,416.66975706461756
gamma,1,median_correct_key_rt_ms,14,532.0126840046474,138.47466272515203,37.00891033332823,452.05979411068324,611.9655738986116
gamma,2,median_correct_key_rt_ms,14,477.92784656797136,67.14365017832716,17.94489533319309,439.16025714663556,516.6954359893072
gamma,3,median_correct_key_rt_ms,14,462.0668717793056,67.73754588004942,18.103620636001835,422.95637718879425,501.1773663698169
alpha,1,unique_fingers,14,4.357142857142857,1.6458405781822274,0.4398693969148447,3.4068627991108356,5.307422915174878
alpha,2,unique_fingers,14,4.214285714285714,1.6723346844167577,0.44695024465044497,3.2487084147445167,5.179863013826912
alpha,3,unique_fingers,14,3.5,1.286019499792345,0.34370316863809697,2.7574744473473105,4.2425255526526895
beta,1,unique_fingers,14,5.285714285714286,1.3259870882635916,0.35438495596916697,4.520112134516551,6.05131643691202
beta,2,unique_fingers,14,4.5,1.0190493307301363,0.2723523897009611,3.911618433777304,5.088381566222695
beta,3,unique_fingers,14,4.571428571428571,2.027286390693261,0.5418150784888374,3.4009082582623598,5.741948884594782
gamma,1,unique_fingers,14,6.357142857142857,1.0818177620697813,0.2891279586136894,5.732519877646771,6.981765836638942
gamma,2,unique_fingers,14,5.5,1.3445044840729643,0.35933393817016385,4.723706222773839,6.276293777226161
gamma,3,unique_fingers,14,5.285714285714286,1.8156825980064073,0.4852615860619696,4.237370365000585,6.3340582064279864
