participant,trial_index,level,a_occurrence,level_occurrence,n_target_events,n_resolved_responses,selection_coverage_pct,dominant_finger,dominant_share_pct,unique_fingers,effective_fingers,finger_switch_rate_pct,median_correct_key_rt_ms,key_accuracy_pct,n_effort_events,actual_key_travel_semitones,reference_key_travel_semitones,actual_finger_transition_steps,reference_finger_transition_steps,actual_hand_switch_pct,reference_hand_switch_pct
P03,14,gamma,5,2,30,30,100.0,R2,30.0,7,5.776583310617045,89.65517241379311,508.85796546936035,100.0,30,5.071428571428571,5.642857142857143,1.0714285714285714,2.1785714285714284,65.51724137931035,55.172413793103445
P03,17,alpha,6,3,30,30,100.0,R2,73.33333333333333,4,2.2704622650588293,31.03448275862069,377.4467706680298,100.0,30,2.142857142857143,1.2142857142857142,0.25,0.8571428571428571,13.793103448275861,31.03448275862069
P03,23,beta,7,2,30,29,96.66666666666667,R2,58.62068965517241,5,3.3861760582015354,57.14285714285714,400.6540775299072,96.66666666666667,29,2.2222222222222223,2.2222222222222223,0.3333333333333333,1.5555555555555556,35.714285714285715,50.0
P03,24,gamma,8,3,30,29,96.66666666666667,R2,41.37931034482759,4,3.7224332552387427,75.0,455.157995223999,93.33333333333333,28,4.0,4.6923076923076925,0.6923076923076923,2.0384615384615383,55.55555555555556,55.55555555555556
P03,27,beta,9,3,30,30,100.0,R2,90.0,3,1.4751126949379068,17.24137931034483,390.9294605255127,100.0,30,3.142857142857143,2.9642857142857144,0.03571428571428571,1.2857142857142858,17.24137931034483,44.827586206896555
P04,3,beta,1,1,30,30,100.0,R2,30.0,6,4.647815432467318,79.3103448275862,441.3185119628906,100.0,30,2.7142857142857144,2.2142857142857144,0.9285714285714286,1.5357142857142858,13.793103448275861,48.275862068965516
P04,8,alpha,2,1,30,30,100.0,R4,36.666666666666664,5,3.6998193617901745,51.724137931034484,425.78184604644775,100.0,30,2.2857142857142856,1.2142857142857142,0.6428571428571429,0.8571428571428571,6.896551724137931,31.03448275862069
P04,11,beta,3,2,30,30,100.0,R2,40.0,5,4.215491051221195,86.20689655172413,440.3499364852905,100.0,30,2.7857142857142856,3.142857142857143,0.9642857142857143,1.25,31.03448275862069,44.827586206896555
P04,14,alpha,4,2,30,30,100.0,R2,46.666666666666664,4,3.371426941688174,55.172413793103445,416.7369604110718,100.0,30,2.142857142857143,1.5357142857142858,0.4642857142857143,1.0,13.793103448275861,34.48275862068966
P04,20,gamma,5,1,30,30,100.0,L2,23.333333333333332,7,5.914275426554758,79.3103448275862,463.3290767669678,96.66666666666667,29,3.5555555555555554,5.2592592592592595,0.7777777777777778,2.0,46.42857142857143,60.71428571428571
P04,21,gamma,6,2,30,30,100.0,R2,40.0,5,4.365135779119507,82.75862068965517,407.0395231246948,100.0,30,4.5,5.464285714285714,0.8571428571428571,2.1785714285714284,51.724137931034484,58.620689655172406
P04,25,gamma,7,3,30,30,100.0,L2,30.0,7,5.927937676955473,82.75862068965517,484.1887950897217,100.0,30,3.607142857142857,5.035714285714286,0.7857142857142857,2.25,65.51724137931035,51.724137931034484
P04,26,alpha,8,3,30,30,100.0,R2,76.66666666666667,3,1.8945220472981725,41.37931034482759,388.2664442062378,93.33333333333333,28,2.3461538461538463,1.3461538461538463,0.38461538461538464,1.0,7.4074074074074066,37.03703703703704
P04,27,beta,9,3,30,30,100.0,R2,66.66666666666667,3,2.381101577952299,55.172413793103445,353.1935214996338,100.0,30,2.0,2.25,0.25,1.25,34.48275862068966,41.37931034482759
P05,1,gamma,1,1,30,30,100.0,R2,30.0,8,6.228654698077587,86.20689655172413,627.5238990783691,96.66666666666667,29,3.925925925925926,5.2592592592592595,1.0740740740740742,1.9259259259259258,39.285714285714285,60.71428571428571
P05,4,alpha,2,1,30,30,100.0,R2,90.0,3,1.4751126949379068,20.689655172413794,470.4902172088623,96.66666666666667,29,2.4074074074074074,1.2962962962962963,0.14814814814814814,0.9629629629629629,7.142857142857142,35.714285714285715
P05,12,beta,3,1,30,30,100.0,R2,43.333333333333336,6,4.458281314465521,79.3103448275862,531.6109657287598,100.0,30,2.7142857142857144,2.9285714285714284,0.5714285714285714,1.2857142857142858,48.275862068965516,41.37931034482759
P05,13,gamma,4,2,30,30,100.0,R2,50.0,6,3.782815196523953,79.3103448275862,559.7858428955078,100.0,30,4.0,4.821428571428571,0.6428571428571429,1.9642857142857142,51.724137931034484,51.724137931034484
P05,15,beta,5,2,30,30,100.0,R3,66.66666666666667,3,2.1061784820353426,48.275862068965516,463.4864330291748,100.0,30,3.25,2.9642857142857144,0.42857142857142855,1.2857142857142858,6.896551724137931,44.827586206896555
P05,17,beta,6,3,30,30,100.0,R3,66.66666666666667,2,1.8898815748423097,48.275862068965516,422.16598987579346,100.0,30,2.689655172413793,2.25,0.4827586206896552,1.25,0.0,41.37931034482759
P05,20,gamma,7,3,30,30,100.0,L2,40.0,5,3.515567703101988,79.3103448275862,500.4478693008423,100.0,30,4.821428571428571,4.714285714285714,0.5714285714285714,2.0,51.724137931034484,58.620689655172406
P05,22,alpha,8,2,30,30,100.0,R2,66.66666666666667,3,2.365173523311059,51.724137931034484,426.08642578125,100.0,30,2.0,1.6071428571428572,0.21428571428571427,1.0,37.93103448275862,31.03448275862069
P05,23,alpha,9,3,30,30,100.0,R2,53.333333333333336,4,3.1708136627872867,65.51724137931035,529.5199155807495,100.0,30,1.75,1.1428571428571428,0.39285714285714285,1.0,37.93103448275862,34.48275862068966
