participant,position,condition,level,fa_main_raw,fa_main_adjusted,rt_correct_key_s_raw,rt_correct_key_s_adjusted
P08,19,C,beta,1.0,0.9444444444444444,0.7435106754302978,0.9267567319529397
P08,20,B,beta,0.9,0.9444444444444445,1.06434166431427,0.8563457518342942
P08,22,C,alpha,1.0,0.9444444444444444,0.5672500610351563,0.8517736464265793
P08,23,C,beta,1.0,0.9444444444444444,0.6353700002034505,0.8186160567260924
P08,24,B,alpha,0.8333333333333334,0.8444444444444446,0.9349428097407023,0.8030192828367626
P08,25,C,gamma,0.9,0.8666666666666667,0.7112384955088298,0.9138128230496059
P08,27,C,alpha,0.9666666666666667,0.9111111111111111,0.6527091185251872,0.9372327039166102
P09,1,C,alpha,1.0,0.9796296296296294,0.8360519250233968,0.9800982364749544
P09,2,B,alpha,0.9666666666666667,0.9907407407407405,1.2851468563079833,1.0882019462256598
P09,3,B,gamma,0.9666666666666667,0.9907407407407405,1.2794543266296388,1.0280901656753714
P09,4,C,beta,1.0,0.9796296296296294,0.6994752963383992,0.8485214255321986
P09,6,C,gamma,1.0,0.9685185185185183,0.6227701743443806,0.8100841570631298
P09,7,C,gamma,1.0,0.9685185185185183,0.6616858243942261,0.8489998071129752
P09,8,B,beta,0.9333333333333333,0.9574074074074072,0.860649561882019,0.8285522095545043
P09,9,B,alpha,0.9,0.9240740740740738,0.9410219589869181,0.7440770489045945
P09,11,C,beta,0.9666666666666667,0.9462962962962961,0.7122359911600749,0.8612821203538742
P09,13,C,alpha,1.0,0.9796296296296294,0.5668931563695272,0.7109394678210849
P09,15,B,gamma,0.9,0.9240740740740738,0.9526825773304907,0.7013184163762234
P09,16,C,beta,1.0,0.9796296296296294,0.5884015162785848,0.7374476454723842
P09,17,C,alpha,0.9666666666666667,0.9462962962962961,0.6121671756108602,0.7562134870624179
P09,20,B,alpha,0.9666666666666667,0.9907407407407405,0.8119171063105265,0.6149721962282029
P09,22,B,beta,0.9333333333333333,0.9574074074074072,0.8960684825634134,0.8639711302358987
P09,24,C,gamma,1.0,0.9685185185185183,0.6008532444636027,0.7881672271823518
P09,25,B,gamma,0.9666666666666667,0.9907407407407405,0.9692067702611288,0.7178426093068615
P09,26,B,beta,0.9666666666666667,0.9907407407407405,0.7868252038955689,0.7547278515680541
P10,1,C,alpha,1.0,0.9592592592592593,0.7963367064793905,0.981173891994862
P10,2,C,gamma,0.9666666666666667,0.937037037037037,0.8804651950967723,0.9524965089410569
P10,3,B,beta,0.8333333333333334,0.8814814814814815,0.9958780716205465,0.8602636415393786
P10,5,B,alpha,0.9,0.9370370370370371,0.9110645055770874,0.8558298034631864
P10,7,C,gamma,1.0,0.9703703703703703,0.6782777865727743,0.7503091004170588
P10,8,C,beta,0.9666666666666667,0.937037037037037,0.5490819931030273,0.7657536061341647
P10,9,B,beta,0.9333333333333333,0.9814814814814815,0.9407829523086548,0.8051685222274869
P10,10,C,gamma,1.0,0.9703703703703703,0.6257864713668824,0.6978177852111669
P10,11,B,alpha,0.9,0.9370370370370371,0.8223998631749835,0.7671651610610825
P10,12,C,alpha,1.0,0.9592592592592593,0.49886887073516845,0.6837060562506401
P10,13,C,alpha,1.0,0.9592592592592593,0.550906260808309,0.7357434463237805
P10,14,B,alpha,0.9666666666666667,1.0037037037037038,0.8328631321589152,0.7776284300450141
P10,15,B,gamma,0.9333333333333333,0.9481481481481483,1.1430758396784464,0.860384859482621
P10,16,B,gamma,0.9666666666666667,0.9814814814814816,1.064046573638916,0.7813555934430906
P10,17,C,beta,1.0,0.9703703703703703,0.5652643044789633,0.7819359175101006
P10,20,C,beta,1.0,0.9703703703703703,0.6362622578938802,0.8529338709250176
P10,21,B,beta,0.9666666666666667,1.0148148148148148,0.8708056608835856,0.7351912308024177
P10,27,B,gamma,0.9333333333333333,0.9481481481481483,1.0415739218393962,0.7588829416435708
P11,1,C,gamma,0.9666666666666667,0.9722222222222222,0.8438522338867187,0.8618069048346316
P11,2,B,beta,0.8333333333333334,0.85,0.8894928012575422,0.7532493418290914
P11,3,C,beta,0.9666666666666667,0.9388888888888887,0.5537100632985433,0.6873148378045252
P11,4,C,alpha,1.0,0.972222222222222,0.5141352971394857,0.7049330833531975
P11,6,B,alpha,1.0,1.0277777777777777,0.7194420655568441,0.670444879106004
