participant,level,metric,unit,generated_reference,actual,difference_actual_minus_reference
P06,beta,finger_transition_distance,finger steps,1.4104938271604939,0.2288359788359788,-1.181657848324515
P07,beta,finger_transition_distance,finger steps,1.4104938271604937,0.7826278659611994,-0.6278659611992943
P08,beta,finger_transition_distance,finger steps,1.3355379188712522,0.39858906525573196,-0.9369488536155202
P09,beta,finger_transition_distance,finger steps,1.226190476190476,0.13095238095238093,-1.0952380952380951
P10,beta,finger_transition_distance,finger steps,1.3276014109347443,0.1922398589065256,-1.1353615520282188
P11,beta,finger_transition_distance,finger steps,1.357142857142857,0.5,-0.857142857142857
P12,beta,finger_transition_distance,finger steps,1.25,0.6428571428571429,-0.6071428571428571
P13,beta,finger_transition_distance,finger steps,1.2636684303350971,0.79320987654321,-0.47045855379188717
P14,beta,finger_transition_distance,finger steps,1.2380952380952381,0.4523809523809524,-0.7857142857142858
P15,beta,finger_transition_distance,finger steps,1.4078483245149913,0.35008818342151676,-1.0577601410934745
P16,beta,finger_transition_distance,finger steps,1.3650793650793653,0.5361552028218695,-0.8289241622574959
P01,gamma,finger_transition_distance,finger steps,2.0595238095238098,0.5952380952380952,-1.4642857142857144
P02,gamma,finger_transition_distance,finger steps,2.0380246913580247,0.4131054131054131,-1.6249192782526116
P03,gamma,finger_transition_distance,finger steps,2.1340727174060508,0.9582824582824584,-1.1757902591235925
P04,gamma,finger_transition_distance,finger steps,2.142857142857143,0.8068783068783069,-1.3359788359788358
P05,gamma,finger_transition_distance,finger steps,1.9634038800705467,0.7627865961199296,-1.200617283950617
P06,gamma,finger_transition_distance,finger steps,2.142857142857143,0.37602627257799665,-1.7668308702791462
P07,gamma,finger_transition_distance,finger steps,2.097442680776014,1.2667548500881833,-0.8306878306878305
P08,gamma,finger_transition_distance,finger steps,2.142857142857143,0.8928571428571428,-1.25
P09,gamma,finger_transition_distance,finger steps,2.1093474426807757,0.03571428571428571,-2.07363315696649
P10,gamma,finger_transition_distance,finger steps,2.1490299823633157,0.6419753086419753,-1.5070546737213404
P11,gamma,finger_transition_distance,finger steps,2.229276895943563,0.7279541446208113,-1.5013227513227516
P12,gamma,finger_transition_distance,finger steps,2.130952380952381,1.0714285714285714,-1.0595238095238095
P13,gamma,finger_transition_distance,finger steps,2.0595238095238098,0.5595238095238094,-1.5000000000000004
P14,gamma,finger_transition_distance,finger steps,2.1318342151675487,0.7235449735449735,-1.4082892416225752
P15,gamma,finger_transition_distance,finger steps,2.0864197530864197,0.7777777777777777,-1.308641975308642
P16,gamma,finger_transition_distance,finger steps,2.134479717813051,1.2901234567901236,-0.8443562610229274
P01,alpha,hand_switch_rate,%,34.48275862068966,8.045977011494253,-26.436781609195407
P02,alpha,hand_switch_rate,%,33.03533418475947,23.8399318859089,-9.19540229885057
P03,alpha,hand_switch_rate,%,33.40479231283829,28.89223377729125,-4.51255853554704
P04,alpha,hand_switch_rate,%,34.18475947211579,9.365687526607067,-24.819071945508725
P05,alpha,hand_switch_rate,%,33.74384236453202,27.66830870279146,-6.075533661740561
P06,alpha,hand_switch_rate,%,33.333333333333336,22.988505747126435,-10.3448275862069
P07,alpha,hand_switch_rate,%,33.333333333333336,31.034482758620694,-2.2988505747126418
P08,alpha,hand_switch_rate,%,34.48275862068966,43.67816091954023,9.195402298850574
P09,alpha,hand_switch_rate,%,31.034482758620687,24.13793103448276,-6.896551724137925
P10,alpha,hand_switch_rate,%,31.034482758620687,39.08045977011494,8.045977011494255
P11,alpha,hand_switch_rate,%,33.74384236453202,44.21182266009853,10.467980295566505
P12,alpha,hand_switch_rate,%,32.55336617405583,38.38259441707717,5.8292282430213405
P13,alpha,hand_switch_rate,%,32.18390804597701,32.18390804597701,0.0
P14,alpha,hand_switch_rate,%,33.333333333333336,25.28735632183908,-8.045977011494255
P15,alpha,hand_switch_rate,%,33.333333333333336,45.97701149425288,12.643678160919542
P16,alpha,hand_switch_rate,%,33.74384236453202,20.935960591133,-12.807881773399021
P01,beta,hand_switch_rate,%,47.12643678160919,24.13793103448276,-22.988505747126432
P02,beta,hand_switch_rate,%,45.320197044334975,24.548440065681444,-20.77175697865353
P03,beta,hand_switch_rate,%,46.55172413793104,27.99671592775041,-18.555008210180628
P04,beta,hand_switch_rate,%,44.82758620689655,26.436781609195407,-18.39080459770114
P05,beta,hand_switch_rate,%,42.52873563218391,18.39080459770115,-24.13793103448276
P06,beta,hand_switch_rate,%,47.66009852216749,33.62068965517241,-14.039408866995075
P07,beta,hand_switch_rate,%,47.66009852216749,33.62068965517241,-14.039408866995075
P08,beta,hand_switch_rate,%,47.701149425287355,33.825944170771756,-13.875205254515599
P09,beta,hand_switch_rate,%,45.97701149425287,41.37931034482759,-4.5977011494252835
P10,beta,hand_switch_rate,%,46.55172413793104,32.34811165845648,-14.203612479474558
P11,beta,hand_switch_rate,%,43.67816091954023,43.67816091954023,0.0
P12,beta,hand_switch_rate,%,43.67816091954023,43.67816091954023,0.0
P13,beta,hand_switch_rate,%,45.320197044334975,26.51888341543514,-18.801313628899834
P14,beta,hand_switch_rate,%,45.97701149425288,41.37931034482759,-4.597701149425291
