id,participant_id,actuator_type,trial_index,vibration_onset,response_time,reaction_time_ms,is_valid,is_miss,false_start_count,iti_seconds,created_at
32,2,LRA,2,2490499.943925208,2490500.175274,231.348792091012,1,0,0,3.623018502367672,2026-04-16 09:40:16
33,2,LRA,3,2490502.580801458,2490502.834320916,253.51945776492357,1,0,0,2.3981886903835234,2026-04-16 09:40:19
34,2,LRA,4,2490507.473400166,2490508.085387083,611.9869169779122,1,0,0,4.633399799891013,2026-04-16 09:40:24
35,2,LRA,5,2490510.986117166,2490511.163791708,177.67454218119383,1,0,0,2.8975738699495714,2026-04-16 09:40:27
36,2,LRA,6,2490516.102519625,2490516.3587135,256.1938753351569,1,0,0,4.904772807615009,2026-04-16 09:40:32
37,2,LRA,7,2490519.886095666,2490520.157222958,271.1272919550538,1,0,0,3.519954001832237,2026-04-16 09:40:36
38,2,LRA,8,2490522.981185875,2490523.289229708,308.0438328906894,1,0,0,2.816648674874295,2026-04-16 09:40:39
39,2,LRA,9,2490526.682231625,2490526.899127375,216.89574979245663,1,0,0,3.3881890029788693,2026-04-16 09:40:43
40,2,LRA,10,2490530.227576291,2490530.508925166,281.3488747924566,1,0,0,3.3240848152972893,2026-04-16 09:40:47
41,2,LRA,11,2490534.663555375,2490534.887703916,224.14854122325778,1,0,0,4.151982528847902,2026-04-16 09:40:51
42,2,LRA,12,2490539.165558166,2490539.436168583,270.61041723936796,1,0,0,4.2729612345760515,2026-04-16 09:40:56
43,2,LRA,13,2490542.546938333,2490542.80446675,257.5284168124199,1,0,0,3.1039080945432107,2026-04-16 09:40:59
44,2,LRA,14,2490547.211535375,2490547.468425125,256.88974978402257,1,0,0,4.400547634807053,2026-04-16 09:41:04
45,2,LRA,15,2490550.507520791,2490550.6773535,169.83270877972245,1,0,0,3.031674761806305,2026-04-16 09:41:07
46,2,ERM,1,2490579.63318725,2490579.857685625,224.49837531894445,1,0,0,3.676043676526894,2026-04-16 09:41:36
47,2,ERM,2,2490583.01355325,2490583.215621541,202.06829067319632,1,0,0,3.148611002905064,2026-04-16 09:41:39
48,2,ERM,3,2490587.624399375,2490587.838586583,214.1872076317668,1,0,0,4.401300473895229,2026-04-16 09:41:44
49,2,ERM,4,2490591.619802708,2490591.981837041,362.0343334041536,1,0,0,3.7762073544682555,2026-04-16 09:41:48
50,2,ERM,5,2490594.491070041,2490594.707901041,216.83100005611777,1,0,0,2.5020807402196366,2026-04-16 09:41:51
51,2,ERM,6,2490598.578945125,2490598.788067875,209.1227499768138,1,0,0,3.8638108937147893,2026-04-16 09:41:55
52,2,ERM,7,2490601.232180125,2490601.437722041,205.54191572591662,1,0,0,2.4394907636446055,2026-04-16 09:41:58
